B00, 0
B01, 0
B02, 0
B03, 0
B04, 2
B11, Blotteritem, {'type': 'Trade', 'time': 3395.199999997202, 'price': 83, 'party1': 'B11', 'party2': 'S05', 'qty': 1}
B11, Blotteritem, {'type': 'Trade', 'time': 3518.9599999970897, 'price': 95.0, 'party1': 'B11', 'party2': 'S06', 'qty': 1}
B11, Blotteritem, {'type': 'Trade', 'time': 3665.1399999969567, 'price': 95.0, 'party1': 'B11', 'party2': 'S04', 'qty': 1}
B11, Blotteritem, {'type': 'Trade', 'time': 3711.5799999969145, 'price': 95.0, 'party1': 'B11', 'party2': 'S08', 'qty': 1}
B11, Blotteritem, {'type': 'Trade', 'time': 3843.2999999967947, 'price': 95.0, 'party1': 'B11', 'party2': 'S00', 'qty': 1}
B11, Blotteritem, {'type': 'Trade', 'time': 3929.1199999967166, 'price': 95.0, 'party1': 'B11', 'party2': 'S08', 'qty': 1}
B11, Blotteritem, {'type': 'Trade', 'time': 3997.6599999966543, 'price': 89, 'party1': 'S07', 'party2': 'B11', 'qty': 1}
B11, Blotteritem, {'type': 'Trade', 'time': 4036.239999996619, 'price': 95.0, 'party1': 'B11', 'party2': 'S08', 'qty': 1}
B11, Blotteritem, {'type': 'Trade', 'time': 4055.999999996601, 'price': 89.0, 'party1': 'B11', 'party2': 'S05', 'qty': 1}
B11, Blotteritem, {'type': 'Trade', 'time': 4115.599999996993, 'price': 60, 'party1': 'B11', 'party2': 'S02', 'qty': 1}
B11, Blotteritem, {'type': 'Trade', 'time': 4146.399999997665, 'price': 93.0, 'party1': 'B11', 'party2': 'S05', 'qty': 1}
B11, Blotteritem, {'type': 'Trade', 'time': 4328.600000001642, 'price': 92, 'party1': 'B11', 'party2': 'S10', 'qty': 1}
B11, Blotteritem, {'type': 'Trade', 'time': 4356.640000002254, 'price': 90, 'party1': 'S07', 'party2': 'B11', 'qty': 1}
B11, Blotteritem, {'type': 'Trade', 'time': 4446.800000004222, 'price': 90, 'party1': 'B11', 'party2': 'S01', 'qty': 1}
B11, Blotteritem, {'type': 'Trade', 'time': 4536.840000006187, 'price': 95.0, 'party1': 'B11', 'party2': 'S06', 'qty': 1}
B11, Blotteritem, {'type': 'Trade', 'time': 4621.4600000080345, 'price': 95.0, 'party1': 'B11', 'party2': 'S00', 'qty': 1}
B11, Blotteritem, {'type': 'Trade', 'time': 4776.880000011427, 'price': 95.0, 'party1': 'B11', 'party2': 'S00', 'qty': 1}
B11, Blotteritem, {'type': 'Trade', 'time': 4898.300000014077, 'price': 95.0, 'party1': 'B11', 'party2': 'S08', 'qty': 1}
B11, Blotteritem, {'type': 'Trade', 'time': 4942.080000015033, 'price': 95.0, 'party1': 'B11', 'party2': 'S00', 'qty': 1}
B11, Blotteritem, {'type': 'Trade', 'time': 4987.3200000160205, 'price': 88.0, 'party1': 'B11', 'party2': 'S02', 'qty': 1}
B12, 119
B12, Blotteritem, {'type': 'Trade', 'time': 31.719999999999413, 'price': 99, 'party1': 'B12', 'party2': 'S06', 'qty': 1}
B12, Blotteritem, {'type': 'Trade', 'time': 116.69999999999392, 'price': 100, 'party1': 'B12', 'party2': 'S01', 'qty': 1}
B12, Blotteritem, {'type': 'Trade', 'time': 120.89999999999308, 'price': 92, 'party1': 'S10', 'party2': 'B12', 'qty': 1}
B12, Blotteritem, {'type': 'Trade', 'time': 151.8800000000039, 'price': 100, 'party1': 'B12', 'party2': 'S04', 'qty': 1}
B12, Blotteritem, {'type': 'Trade', 'time': 241.54000000004976, 'price': 95, 'party1': 'S07', 'party2': 'B12', 'qty': 1}
B12, Blotteritem, {'type': 'Trade', 'time': 302.0000000000153, 'price': 93, 'party1': 'S10', 'party2': 'B12', 'qty': 1}
B12, Blotteritem, {'type': 'Trade', 'time': 330.879999999989, 'price': 90, 'party1': 'B12', 'party2': 'S05', 'qty': 1}
B12, Blotteritem, {'type': 'Trade', 'time': 362.8799999999599, 'price': 98, 'party1': 'S07', 'party2': 'B12', 'qty': 1}
B12, Blotteritem, {'type': 'Trade', 'time': 399.99999999992616, 'price': 98, 'party1': 'B12', 'party2': 'S01', 'qty': 1}
B12, Blotteritem, {'type': 'Trade', 'time': 421.3999999999067, 'price': 88, 'party1': 'B12', 'party2': 'S03', 'qty': 1}
B12, Blotteritem, {'type': 'Trade', 'time': 480.9599999998525, 'price': 99, 'party1': 'B12', 'party2': 'S05', 'qty': 1}
B12, Blotteritem, {'type': 'Trade', 'time': 540.959999999798, 'price': 97, 'party1': 'B12', 'party2': 'S02', 'qty': 1}
B12, Blotteritem, {'type': 'Trade', 'time': 573.8599999997681, 'price': 100, 'party1': 'B12', 'party2': 'S07', 'qty': 1}
B12, Blotteritem, {'type': 'Trade', 'time': 600.9199999997435, 'price': 98, 'party1': 'B12', 'party2': 'S02', 'qty': 1}
B12, Blotteritem, {'type': 'Trade', 'time': 644.6999999997037, 'price': 97, 'party1': 'B12', 'party2': 'S08', 'qty': 1}
B12, Blotteritem, {'type': 'Trade', 'time': 663.1599999996869, 'price': 100, 'party1': 'B12', 'party2': 'S11', 'qty': 1}
B12, Blotteritem, {'type': 'Trade', 'time': 699.7599999996536, 'price': 98, 'party1': 'B12', 'party2': 'S00', 'qty': 1}
B12, Blotteritem, {'type': 'Trade', 'time': 768.8999999995907, 'price': 96, 'party1': 'B12', 'party2': 'S01', 'qty': 1}
B12, Blotteritem, {'type': 'Trade', 'time': 811.2599999995522, 'price': 100, 'party1': 'B12', 'party2': 'S05', 'qty': 1}
